A1	WATCHING YOU	https://d8j0ntlcm91z4.cloudfront.net/user_3H0VpNOETP4iFCc9Ircvn51x9LF/hf_20260812_185010_3269f070-05f9-4b79-b51a-035af0981c49.png
A2	AFRICA AT NIGHT	https://d8j0ntlcm91z4.cloudfront.net/user_3H0VpNOETP4iFCc9Ircvn51x9LF/hf_20260812_185010_18b3ad4d-6c71-49d5-9435-92f5459b2031.png
B1	THE SECRET SEVEN (civet)	https://d8j0ntlcm91z4.cloudfront.net/user_3H0VpNOETP4iFCc9Ircvn51x9LF/hf_20260812_185010_f839b457-d8b5-4917-a3c8-7e65f8401096.png
B2	AFRICA'S SECRET (Milky Way)	https://d8j0ntlcm91z4.cloudfront.net/user_3H0VpNOETP4iFCc9Ircvn51x9LF/hf_20260812_185010_194e83b3-4e1d-4902-a5c6-6a9a8abbc972.png
C1	FEARS NOTHING (honey badger)	https://d8j0ntlcm91z4.cloudfront.net/user_3H0VpNOETP4iFCc9Ircvn51x9LF/hf_20260812_185010_d6306b6e-ecc0-4c11-b585-0e4e81e66f23.png
C2	NEVER SEEN (pangolin)	https://d8j0ntlcm91z4.cloudfront.net/user_3H0VpNOETP4iFCc9Ircvn51x9LF/hf_20260812_185010_4b91cd5a-4274-440c-a7ba-c09834fd9312.png
